txt,情感分数,情感类型,分词,主题概率,主题类型
同性恋真的有爱情么？真的有，也都是在长相可口前提下的互相挑拣吧？ ​,0.991102715591917,积极,爱情 前提,"[(0, 0.7586091), (1, 0.24139093)]",0
很多人说的都是自己为对方做了很多  牺牲了很多  对方却不懂得珍惜 没有回报  是否有考虑过你的付出是不是对方想要的呢   你给她一车梨 那你的付出在对方眼里就是零  你只感动了自己  所以要学会投其所好的付出  有价值的付出才有回报与前任分手怎样挽回感情？男朋友有了新欢怎么挽回感情？还是忘不掉前女友怎么挽回感情？老公出轨了如何分离小三？异地恋异国恋同性恋如何经营？父母不同意的感情怎么办？ 收起,1.0,积极,珍惜 学会 价值 前任 感情 男朋友 感情 前女友 感情 老公 异地 异国恋 父母 感情,"[(0, 0.061402187), (1, 0.93859786)]",1
你无法决定明天是晴是雨，爱你的人是否还能留在身边，你此刻的坚持能换来什么，但你能决定今天有没有准备好雨伞，有没有好好爱人以及学习经营感情。永远不要只看见前方路途遥远而忘了自己坚持多久才走到这里，想要挽回尽力做，虽然辛苦，但未来发生的，都是礼物，起码情商是属于自己的！舍得舍得有舍才有得！   收起,0.999999999462385,积极,雨伞 爱人 感情 辛苦 礼物 起码 情商,"[(0, 0.08104966), (1, 0.9189504)]",1
   总部坐落在英国南部城市伯恩茅斯， 是现今欧洲最大的同性恋冬季运动组织，每年的下半年或者来年的3月份之前会在欧洲各地举办同志滑雪赛事和活动，赛事之后，主办方基于同志特色， 晚上会举办同志大型派对活动：网页链接  兔的秒拍视频 收起,0.999995869954121,积极,总部 英国 城市 伯恩茅 欧洲 月份 欧洲 同志 滑雪 赛事 赛事 主办方 同志 特色 同志 网页 链接 视频,"[(0, 0.03595242), (1, 0.9640476)]",1
看了电影“女儿国” 有点无聊的电影，又好笑，又有点看不懂，冯绍峰很适应演唐僧这个角色，看出他眼睛里的纯真，那个小品演员不知道叫什么名字，还是适合演小品， 始终像在演小品，过于搞笑，还有志林姐姐不知道演的那个什么角色，是男是女？如果是女的那么就是同性恋，哈哈😄有点好笑，女儿国的女人寂寞得连女人都可以恋爱，还有那个演员不知道是不是梁咏琪，那么冷酷，还有 那个孙悟空谁演的呀？ 收起,0.999999999971776,积极,电影 女儿国 无聊 电影 冯绍峰 唐僧 角色 眼睛 纯真 小品 演员 名字 小品 小品 林姐姐 角色 女儿国 女人 寂寞 女人 演员 冷酷 孙悟空,"[(0, 0.96757764), (1, 0.03242237)]",0
//: 我是异性恋，不支持同性恋，也不给同性恋施压。唉。就这样吧。,0.411604746748944,中性,异性恋,"[(0, 0.5038322), (1, 0.4961678)]",0
你无法决定明天是晴是雨，爱你的人是否还能留在身边，你此刻的坚持能换来什么，但你能决定今天有没有准备好雨伞，有没有好好爱人以及学习经营感情。永远不要只看见前方路途遥远而忘了自己坚持多久才走到这里，想要挽回尽力做，虽然辛苦，但未来发生的，都是礼物，起码情商是属于自己的！舍得舍得有舍才有得！ 收起,1.0,积极,雨伞 爱人 感情 辛苦 礼物 起码 情商,"[(0, 0.08103993), (1, 0.9189601)]",1
看了《马斯顿教授与神奇女侠》，一男二女的3题材，性虐内容，最后教授去世，两位女性还相伴生活38年的真实改编，应该很有内容吧，神奇女侠初版是充满性虐主题和女同性恋的，结果在马斯顿教授去世后都被删除。不过两位女主的演技不是很投入，3的场景更是造作，对内心性虐欲望的发掘也不惊喜，虽然导演是的导演，但我们知道电视剧看重的是编剧对吧。 收起,1.0,积极,马斯顿 教授 神奇 女侠 题材 性虐 内容 教授 女性 内容 神奇 女侠 充满 性虐 主题 女同性恋 马斯顿 教授 女主 演技 场景 内心 性虐 惊喜 电视剧 编剧,"[(0, 0.022542788), (1, 0.9774572)]",1
台湾同性恋合法,0.966720400054236,积极,台湾 合法,"[(0, 0.19098593), (1, 0.809014)]",1
同事家的姐姐，圣诞节和男友互赠礼物，回家发现自己收到号称海外代购的项链，竟是某宝高仿货，还是88包邮的那种。同事姐姐把某宝截图发给男友质问，男友恼羞成怒，回复：“都30岁的人了，那么当真干嘛，你妈不着急你结婚啊？”“不好意思，一点都不着急。”回答完这个问题，同事的姐姐就把男友，不，前男友，拉黑了。同事说，她妈妈最常挂在嘴边的话是：“你们姐妹俩，婚姻大事一定要慎重，如果找不到好男人，宁肯一辈子不结婚也没关系，爸爸妈妈养得起。”每每这时，同事和姐姐都会骄傲地补充：“我自己也养得起。”我还有个同学，据说前几年，家里催婚催得很急，恨不得她第二天就能嫁掉。这几年不催了，不光不催了，还劝她慢慢找。原来当初他们家亲戚有几个年纪相仿的小姐妹，都早早嫁出去了，只剩她还孤身一人，爸妈觉得丢脸，就各种催啊催。没想到几年过去，小姐妹各家过得鸡飞狗跳，几个老亲戚聚一块儿个个抹眼泪，还有好几家孩子办了离婚。尤其离他们家最近的一个，不光离婚，还背负了渣男凭空捏造的几十万债务，到处说理都说不清。同学的爸妈真的被吓到了，再也不敢催闺女结婚。因为他们终于明白，这一代的婚姻，已经和从前那个“车马很慢”的年代大不相同，嫁错一个人，是要赔上半条命的。2聪明的家长，早就不再催婚了。微博有一个热帖，晒出了很多当今家长的心声——“女儿嫁不嫁都可以，连同性恋我也支持，只要女儿自己能开心幸福。因为嫁给男人真的是冒太多风险，不好的婆婆，无担当的老公，意外怀孕受到的伤害，太多了，碰到了这些，我宁愿女儿一辈子不婚，或同性恋。”“我也是这样和儿子说的，结不结婚，生不生孩子，孩子和妈妈姓我都没意见，只要他幸福就好。”“如果你结婚后没有单身过得潇洒幸福，那就没有必要为了周围人的眼光而结婚，开心就行。”“爱结不结，爱生不生，自己的事自己负责，作一个走正途、有修养的公民就行，这种事儿管不了！”……总结起来就是：孩子，如果你不是为了让自己活得更开心而结婚，那你实在没必要结婚。如果婚姻不能给你额外的幸福，反而给你带来额外的风险，那你实在没必要结婚。你最坏最坏的结局，可以是一辈子不结婚，总胜过在婚姻里伤心又伤身。别人的目光，世俗的闲话，在我看来，都远没有我最亲爱的你更重要。3一个女孩被催婚，问：“妈妈，我为什么一定要结婚？”妈妈很惊讶：“女人不结婚生孩子怎么能行呢？你老了怎么办？”女孩纳闷：“你老了指望我爸照顾你吗？”“什么，你爸？”女孩妈妈想起了自己甩手掌柜似的老公，忍不住说：“我可不敢指望，他不用我照顾就不错了！”“那你老了是指望我照顾你喽？”女孩妈妈有点生气：“放心吧，我才不会给你添麻烦。”女孩笑了：“你看，你连自己老了都不知道该怎么办呢，干嘛天天操心我老了的事儿？”“再说，我活到80岁，真正衰老就那么几年，为了短短几年，拿自己半辈子做赌注，真的值吗？”如果不是出于灵魂碰撞的火花，而只是把婚姻当做无聊时的慰藉，衰老时的保障，那婚姻的性价比，还能剩下多少？这样的婚姻，比起手机，护工，养老院，又能高明到哪里去呢？林夕说：“很多人结婚只是为了找个跟自己一起看电影的人，而不是能够一起分享看电影心得的人。”“如果为了只是找个伴，我不愿结婚，我自己一个人都能够去看电影。”世界上有一种孤独，不是没有人陪你，而是陪你的那个人，根本不懂你。一辈子太长了，遇见错的人，远比孤独更可怕。4有个网友说，自己30多岁了，还没结婚。有一回过年回家，邻居见到，随口说：“怎么还回你妈家啊？”她妈妈立刻怼回去：“怎么，这不是我女儿的家吗？”好的父母，永远是儿女最值得信赖的港湾，绝不会为了一时的面子，把儿女推向火坑。因为他们知道，假设连父母都不能给孩子真正的依靠和爱，又有什么理由，要求被拉来凑合结婚的那个人，能给孩子真正的依靠和爱呢？为了避免病急乱投医，他们会郑重其事地告诉孩子：“无论你结不结婚，妈妈都爱你。”只有最空虚无能的父母，才会试图用子女虚假的幸福，来证明自己的成功。这时候，只要稍微有个无聊的人过来说：“哎呀，你的女儿年纪太大，嫁不出去了。”或者：“你儿子还在打光棍啊，是不是那方面有问题？”他们便沉不住气了，要把辛辛苦苦养大的孩子，特价处理掉，比对待一棵白菜，或者一头猪，还要轻率。哪怕他们的女儿，工作好，相貌好，最后却找了个秃头的酒鬼，只要结婚了，就很光彩。哪怕他们的儿子，有理想，有抱负，最后娶了村东头的傻大姐，只要结婚了，就该放鞭炮。于是婚姻缺失了应有的门槛，变。新书《愿所有姑娘都可以嫁给爱情》正在热售。你做我的朗读者，我做你的摆渡人。  2重庆·龙都街区 收起,1.0,积极,同事 姐姐 男友 礼物 回家 项链 宝高仿 包邮 同事 姐姐 男友 质问 男友 干嘛 着急 不好意思 着急 同事 姐姐 男友 前男友 同事 妈妈 姐妹俩 婚姻大事 慎重 男人 爸爸妈妈 同事 姐姐 同学 很急 亲戚 姐妹 爸妈 姐妹 亲戚 眼泪 孩子 债务 同学 爸妈 闺女 明白 婚姻 车马 半条命 聪明 家长 热帖 家长 心声 女儿 女儿 幸福 男人 风险 婆婆 老公 意外 伤害 女儿 儿子 孩子 孩子 妈妈 意见 幸福 单身 潇洒 幸福 眼光 爱生 公民 事儿 孩子 婚姻 幸福 风险 结局 婚姻 伤心 伤身 目光 世俗 闲话 亲爱 女孩 妈妈 妈妈 惊讶 女人 孩子 女孩 女孩 妈妈 甩手掌柜 老公 不错 女孩 妈妈 生气 女孩 干嘛 事儿 衰老 灵魂 火花 婚姻 无聊 衰老 婚姻 性价比 婚姻 手机 护工 养老院 高明 林夕 电影 电影 电影 世界 孤独 孤独 网友 回家 妈家 妈妈 女儿 父母 儿女 信赖 港湾 面子 儿女 火坑 父母 孩子 理由 孩子 孩子 妈妈 空虚 父母 试图用 子女 虚假 幸福 证明 成功 无聊 女儿 儿子 养大 孩子 特价 白菜 轻率 女儿 相貌 秃头 酒鬼 光彩 儿子 理想 傻大姐 放鞭炮 婚姻 门槛 新书 姑娘 爱情 热售 读者 摆渡人 重庆 龙都,"[(0, 0.9961714)]",0
《十宗罪》4人皮草人。主要内容：世外桃源武陵县遭遇强拆，一对退役抗战老兵为守护这片净土杀死了旅游局科长和开发商并制作成人皮稻草人想以此吓退拆迁者们，可是结局并没有改变。美好的家园被毁。同性恋恋人双双离世。感慨万千吧……………… ​,0.999999994965248,积极,皮草 内容 世外桃源 武陵 遭遇 抗战 老兵 净土 旅游局 科长 开发商 成人 稻草人 结局 美好 家园 恋人,"[(0, 0.03362649), (1, 0.96637356)]",1
思路不错，都是民事法律关系，唯一问题是，没法拿户口把//://: //: 好棒啊//:当年我老师就是按这个思路和方法帮一对同性恋伴侣在我国「结的婚」。当时也的确说这种方式反倒比婚姻法更好的保障双方权利。婚姻法中吃死亏的是哪方太明显了，一提钱就跳脚说伤害感,0.999999999999713,积极,思路 不错 民事法律 关系 户口 老师 思路 方法 伴侣 方式 婚姻法 权利 婚姻法 伤害,"[(0, 0.95714134), (1, 0.04285867)]",0
//://://:最右！//: //: 好棒啊//:当年我老师就是按这个思路和方法帮一对同性恋伴侣在我国「结的婚」。当时也的确说这种方式反倒比婚姻法更好的保障双方权利。婚姻法中吃死亏的是哪方太明显了，一提钱就跳脚说伤害感,0.999999999970081,积极,老师 思路 方法 伴侣 方式 婚姻法 权利 婚姻法 伤害,"[(0, 0.93424314), (1, 0.06575689)]",0
这是我俩的约定。小迅撩妹的词真的够骚……//:挠头，印象中想和周迅演同性恋的女演员好像还有其他的好几个...小树是不是应该好好想想这是为什么,0.990911002882662,积极,小迅 挠头 印象 中想 周迅 女演员 小树,"[(0, 0.06786284), (1, 0.93213713)]",1
同事家的姐姐，圣诞节和男友互赠礼物，回家发现自己收到号称海外代购的项链，竟是某宝高仿货，还是88包邮的那种。同事姐姐把某宝截图发给男友质问，男友恼羞成怒，回复：“都30岁的人了，那么当真干嘛，你妈不着急你结婚啊？”“不好意思，一点都不着急。”回答完这个问题，同事的姐姐就把男友，不，前男友，拉黑了。同事说，她妈妈最常挂在嘴边的话是：“你们姐妹俩，婚姻大事一定要慎重，如果找不到好男人，宁肯一辈子不结婚也没关系，爸爸妈妈养得起。”每每这时，同事和姐姐都会骄傲地补充：“我自己也养得起。”我还有个同学，据说前几年，家里催婚催得很急，恨不得她第二天就能嫁掉。这几年不催了，不光不催了，还劝她慢慢找。原来当初他们家亲戚有几个年纪相仿的小姐妹，都早早嫁出去了，只剩她还孤身一人，爸妈觉得丢脸，就各种催啊催。没想到几年过去，小姐妹各家过得鸡飞狗跳，几个老亲戚聚一块儿个个抹眼泪，还有好几家孩子办了离婚。尤其离他们家最近的一个，不光离婚，还背负了渣男凭空捏造的几十万债务，到处说理都说不清。同学的爸妈真的被吓到了，再也不敢催闺女结婚。因为他们终于明白，这一代的婚姻，已经和从前那个“车马很慢”的年代大不相同，嫁错一个人，是要赔上半条命的。2聪明的家长，早就不再催婚了。微博有一个热帖，晒出了很多当今家长的心声——“女儿嫁不嫁都可以，连同性恋我也支持，只要女儿自己能开心幸福。因为嫁给男人真的是冒太多风险，不好的婆婆，无担当的老公，意外怀孕受到的伤害，太多了，碰到了这些，我宁愿女儿一辈子不婚，或同性恋。”“我也是这样和儿子说的，结不结婚，生不生孩子，孩子和妈妈姓我都没意见，只要他幸福就好。”“如果你结婚后没有单身过得潇洒幸福，那就没有必要为了周围人的眼光而结婚，开心就行。”“爱结不结，爱生不生，自己的事自己负责，作一个走正途、有修养的公民就行，这种事儿管不了！”……总结起来就是：孩子，如果你不是为了让自己活得更开心而结婚，那你实在没必要结婚。如果婚姻不能给你额外的幸福，反而给你带来额外的风险，那你实在没必要结婚。你最坏最坏的结局，可以是一辈子不结婚，总胜过在婚姻里伤心又伤身。别人的目光，世俗的闲话，在我看来，都远没有我最亲爱的你更重要。3一个女孩被催婚，问：“妈妈，我为什么一定要结婚？”妈妈很惊讶：“女人不结婚生孩子怎么能行呢？你老了怎么办？”女孩纳闷：“你老了指望我爸照顾你吗？”“什么，你爸？”女孩妈妈想起了自己甩手掌柜似的老公，忍不住说：“我可不敢指望，他不用我照顾就不错了！”“那你老了是指望我照顾你喽？”女孩妈妈有点生气：“放心吧，我才不会给你添麻烦。”女孩笑了：“你看，你连自己老了都不知道该怎么办呢，干嘛天天操心我老了的事儿？”“再说，我活到80岁，真正衰老就那么几年，为了短短几年，拿自己半辈子做赌注，真的值吗？”如果不是出于灵魂碰撞的火花，而只是把婚姻当做无聊时的慰藉，衰老时的保障，那婚姻的性价比，还能剩下多少？这样的婚姻，比起手机，护工，养老院，又能高明到哪里去呢？林夕说：“很多人结婚只是为了找个跟自己一起看电影的人，而不是能够一起分享看电影心得的人。”“如果为了只是找个伴，我不愿结婚，我自己一个人都能够去看电影。”世界上有一种孤独，不是没有人陪你，而是陪你的那个人，根本不懂你。一辈子太长了，遇见错的人，远比孤独更可怕。4有个网友说，自己30多岁了，还没结婚。有一回过年回家，邻居见到，随口说：“怎么还回你妈家啊？”她妈妈立刻怼回去：“怎么，这不是我女儿的家吗？”好的父母，永远是儿女最值得信赖的港湾，绝不会为了一时的面子，把儿女推向火坑。因为他们知道，假设连父母都不能给孩子真正的依靠和爱，又有什么理由，要求被拉来凑合结婚的那个人，能给孩子真正的依靠和爱呢？为了避免病急乱投医，他们会郑重其事地告诉孩子：“无论你结不结婚，妈妈都爱你。”只有最空虚无能的父母，才会试图用子女虚假的幸福，来证明自己的成功。这时候，只要稍微有个无聊的人过来说：“哎呀，你的女儿年纪太大，嫁不出去了。”或者：“你儿子还在打光棍啊，是不是那方面有问题？”他们便沉不住气了，要把辛辛苦苦养大的孩子，特价处理掉，比对待一棵白菜，或者一头猪，还要轻率。哪怕他们的女儿，工作好，相貌好，最后却找了个秃头的酒鬼，只要结婚了，就很光彩。哪怕他们的儿子，有理想，有抱负，最后娶了村东头的傻大姐，只要结婚了，就该放鞭炮。于是婚姻缺失了应有的门槛，变成了一次高风险低回报的抽奖活动。最后奖品不尽如人意，看笑话的，还是原来那一帮人。*作者：摆渡人。一枚山东小作家，微博签约自媒体。微博：我是摆渡人。 收起,1.0,积极,同事 姐姐 男友 礼物 回家 项链 宝高仿 包邮 同事 姐姐 男友 质问 男友 干嘛 着急 不好意思 着急 同事 姐姐 男友 前男友 同事 妈妈 姐妹俩 婚姻大事 慎重 男人 爸爸妈妈 同事 姐姐 同学 很急 亲戚 姐妹 爸妈 姐妹 亲戚 眼泪 孩子 债务 同学 爸妈 闺女 明白 婚姻 车马 半条命 聪明 家长 热帖 家长 心声 女儿 女儿 幸福 男人 风险 婆婆 老公 意外 伤害 女儿 儿子 孩子 孩子 妈妈 意见 幸福 单身 潇洒 幸福 眼光 爱生 公民 事儿 孩子 婚姻 幸福 风险 结局 婚姻 伤心 伤身 目光 世俗 闲话 亲爱 女孩 妈妈 妈妈 惊讶 女人 孩子 女孩 女孩 妈妈 甩手掌柜 老公 不错 女孩 妈妈 生气 女孩 干嘛 事儿 衰老 灵魂 火花 婚姻 无聊 衰老 婚姻 性价比 婚姻 手机 护工 养老院 高明 林夕 电影 电影 电影 世界 孤独 孤独 网友 回家 妈家 妈妈 女儿 父母 儿女 信赖 港湾 面子 儿女 火坑 父母 孩子 理由 孩子 孩子 妈妈 空虚 父母 试图用 子女 虚假 幸福 证明 成功 无聊 女儿 儿子 养大 孩子 特价 白菜 轻率 女儿 相貌 秃头 酒鬼 光彩 儿子 理想 傻大姐 放鞭炮 婚姻 门槛 高风险 抽奖 奖品 一帮人 作者 摆渡人 山东 作家 媒体 摆渡人,"[(0, 0.9962679)]",0
