评论内容,fenci
房间卫生很干净.空间也大.一家三口住完全足够啦.还有个可以看街景的阳台.长沙两天时间还是比较匆忙的.还有很多好吃的没打卡呢.后来才知道他们家还有一个大露台.下次有机会一定再来.有什么需求只要给老板发个信息就好！服务挺好.,房间 卫生 干净 空间 足够 街景 阳台 时间 好吃 打卡 露台 机会 需求 老板 信息
首先店家的服务态度是相当好的，名宿很漂亮，对得起这三四百元一天的价格，没有早餐，这点比较遗憾，位置很不错，去各个景点都比较近，缺点是离地铁口远，所以还得考虑打车才好一些,店家 服务态度 名宿 很漂亮 对得起 价格 早餐 遗憾 位置 不错 景点 缺点 地铁口 打车
环境特别好 干净舒适 房间也和图片没有差别 很喜欢床边的这个桌子 晚上开小灯写东西非常舒服 民宿的位置出门就能吃吃喝喝 房东人也很好 一开始找不到路还出来接下次出行或者朋友去长沙一定会推荐,环境 干净 舒适 房间 图片 喜欢 床边 桌子 舒服 民宿 位置 出门 房东 不到 出行 朋友 推荐
准备长沙行时，看了一圈的酒店和民宿，最终选了烟霞里，最开始是被零差评所吸引，真正入住后终于理解了～因为真的太好住了。 民宿在潮宗街后面的北正街的巷子里，第一次不好找，可以打电话给民宿小姐姐来接，了解后就会发现这地段超级棒，所有来长沙必打卡的热门的，小众的景点都有地铁直达，最多转一次地铁（比如省博，加上转乘一共也就两站）；茶颜悦色，光脑壳饭店，鲁哥饭店，附近就有。 民宿隔壁虽然有店面但是营业晚，闭门早，特别是前栋的“里”，推荐给睡觉喜欢安静的；房间宽敞，舒适，洗护用品都是常见的牌子，电吹风小巧风力贼大；边上有不少清吧，喝得微醺，走个一两分钟就能回民宿，非常惬意。 入住后，民宿小姐姐会加你微信好友，然后把门的密码，一些注意事项，周边景点美食推荐发送给你，有什么需要都可以微信告知。因为住得太舒服，去长沙南站也方便，退了原本为了回程方便订在南站附近的酒店，又续住了一晚，还被民宿小姐姐投喂了茶颜悦色。 总之，来长沙玩要住民宿的推荐烟霞里，民宿内布置，拍照也很出片。,行时 酒店 民宿 烟霞 零差 评所 吸引 入住 理解 民宿 宗街 正街 巷子 民宿 发现 地段 打卡 热门 小众 景点 地铁 直达 地铁 转乘 脑壳 饭店 饭店 民宿 店面 营业 闭门 推荐 睡觉 喜欢 房间 宽敞 舒适 洗护 用品 常见 牌子 电吹风 小巧 风力 回民 惬意 入住 民宿 微信 好友 把门 密码 注意事项 景点 美食 推荐 发送给 告知 舒服 原本 回程 酒店 民宿 民宿 推荐 烟霞 民宿 布置 拍照
房间和图片一致 肉眼看上去感觉比图片更好一些 房间干净 配套齐全，挺不错的，寄存行李也方便 ，老板娘是超可爱的小姐姐，会给到周边的美食和景点指南以及温馨，贴贴～,房间 图片 肉眼 感觉 图片 房间 干净 配套 寄存 行李 老板娘 可爱 给到 美食 景点 指南 贴贴
小姐姐非常热情，房间也是我喜欢的，可以投屏，还有浴缸，很干净，晚上很安静，门口就是咖啡屋，周边美食很多，就在潮宗街，很文艺范的一条街，打卡了茶颜悦色和黑色经典臭豆腐，愉快的旅行！,热情 房间 喜欢 投屏 浴缸 干净 咖啡屋 美食 宗街 文艺 一条街 打卡 黑色 经典 臭豆腐 愉快
房间很惊喜，干净卫生！也很大，女儿一进去就非常喜欢！住了两个阳台房 感觉都很不错！位置好 下楼就可以打车，地铁走个几分钟 老板服务也到位！住的很舒服。,房间 惊喜 干净 卫生 很大 女儿 喜欢 阳台 感觉 不错 位置 下楼 打车 地铁 老板 到位 舒服
房子非常不错，就是厅地板会响，热水不够热，还有阳台露台不是独家的，是公用的，地理位置非常不错，去哪里都非常方便，整体来说还是可以,房子 不错 地板 热水 阳台 露台 独家 公用 地理位置 不错 整体
住了一个晚上，房间很好卡，没有什么味道，摆设布置很不错，洗漱用品也可以，晚上挺安静的，不吵，老板娘人很好,房间 味道 摆设 布置 不错 洗漱 用品 老板娘
长沙最近的天气真的太舒服了～这个民宿房间很大又干净，一早起来房间暖暖的阳光真的舒服～位置也非常方便 离地铁站也近～,天气 舒服 民宿 房间 很大 干净 房间 舒服 位置 地铁站
民宿细节感满满，非常干净，交通也比较方便，老板小姑娘人很好，帮我们提行李，推荐的小吃特别是米粉店很好吃！,民宿 细节 满满 干净 交通 老板 行李 推荐 小吃 米粉店 好吃
国庆后去了长沙一趟，选择了这家民宿，位置便利，去各大商圈都近，出门不远就有地铁站。装修风格深得我心，住的很惬意。老板娘也很热情，总体来说十分满意！,选择 民宿 位置 便利 商圈 出门 地铁站 装修 风格 惬意 老板娘 热情 总体
房间设施齐全，干净卫生，店主推荐的餐厅很不错，民宿前后都有很多小吃店，离地铁站几分钟路程，出入很方便,房间 设施 干净 卫生 店主 推荐 餐厅 不错 民宿 小吃店 地铁站 路程 出入
小姐姐人很不错，主动联系我，还帮我拎行李，房间很干净 整体布局合理，阳台视野很赞！夜晚可以小酌一杯，看看长沙热闹的街市。下次来还会住,不错 行李 房间 干净 整体 布局合理 阳台 视野 热闹 街市
民宿离网红潮宗街打卡地非常非常近，吃的也很多，点外卖很方便，总体来说还可以！,民宿 离网 宗街 打卡 外卖 总体
环境位置都非常好 离潮宗街打卡很近，两分钟就走到啦 房间干净。,环境 位置 离潮 宗街 打卡 房间 干净
整体环境很好很喜欢，阳光很好，会想要再次预定，有问题找老板回复也很及时解决问题，,整体 环境 喜欢 想要 预定 老板 回复 解决问题
环境很好呢，服务也超好的,环境 超好
周边有很多好吃的店铺，地理位置很好，房子干净,好吃 店铺 地理位置 房子 干净
这家民宿就在巷子里，离步行老街很近，各方面都挺好。 老板人也热情,民宿 巷子 步行 老街 老板 热情
房间干净，有个小露台，朋友聊天很舒服。,房间 干净 露台 朋友 舒服
房间设计的小清新，面积很大，住的很舒服，提供的相关物品也很齐全。地理位置优越，在潮宗街附近，出门有很多好吃的，和老公住了三天，每天早上去周边嗦粉，还有家天天排长队的清泉阁包子铺。到五一广场很近，坐地铁方便。,房间 清新 面积 很大 舒服 提供 相关 物品 地理位置 优越 宗街 出门 好吃 排长队 包子铺
装修很棒，氛围拉满，天台很舒服，还可以看月亮看星星！缺点就是民居周围隔音比较差，周围的居民早上就开始活动拉东西比较吵，晚上房间里面都能听到隔壁酒吧唱的歌……还有枕头……过于高了。床吱吱响。但是不影响对这里的好评。依然会下次入住……,装修 很棒 氛围 天台 舒服 月亮 缺点 民居 隔音 居民 房间 听到 酒吧 唱的歌 枕头 吱吱响 好评 入住
位置乘地铁很方便，闹中取静，推荐住,位置 地铁 推荐
真的很喜欢，强烈推荐！,喜欢
都挺好的 但是房间特别冷 空调吹的热风一会吹一会停 声音超大 拖拉机一样  一晚上没热过  没有电梯 行李提上提下不方便  建议冬天还是别选择住这了 尤其北方人受不了这温度 还是酒店吧 中央空调至少不会冷,挺好 房间 空调 热风 声音 超大 拖拉机 没热 电梯 行李 提上 提下 建议 选择 温度 酒店 中央空调
宝藏民宿！特别满意的一次入住体验，住了三天，因为皮肤很敏感灰尘过敏容易起疹子所以入住前一直有点担心，反复和民宿沟通卫生问题，直到入住的当天终于放下心来，房间打扫的干净到什么程度呢，我一个强迫症患者连床头和阳台的地都用手抹了一遍，没有一点灰，卫生间没有一点异味，毫不夸张，震惊！惊喜！ 房间和图片一模一样甚至身临其境觉得更好看了！枕头和床垫都是乳胶的很舒服，用品超过很多某季那样的连锁酒店，纸巾全是洁柔，洗手间熏香是花王，洗发水是潘婷，沐浴露资生堂，连酒精都给住客备好了，特别细心而且很亲切很周到 店家小姐姐还很负责任，入住第二天晚上半夜突然有男性一直敲门把我们吓醒了，我给小姐姐发了消息之后她一醒看到就立刻帮我查监控，确认了是外卖员送错了房间才告知我，很感动 唯一的缺点是因为在潮宗街上，我们住的是前栋，半夜偶尔会有卖唱的网红音响开的特别大声一直唱到一两点，虽然房间玻璃和阳台玻璃已经很隔音了，但还是有点太吵了（这个看运气，我们只有第二天晚上才碰到这种情况 总之是很完美的，下次去长时间还会去！,民宿 满意 入住 体验 皮肤 敏感 灰尘 疹子 入住 担心 反复 民宿 沟通 卫生 入住 放下 心来 房间 打扫 干净 程度 强迫症 患者 床头 阳台 地都 卫生间 异味 夸张 震惊 惊喜 房间 图片 枕头 床垫 乳胶 舒服 用品 超过 酒店 纸巾 洁柔 洗手间 资生堂 酒精 住客 备好 细心 亲切 周到 店家 负责 入住 男性 敲门 吓醒 消息 一醒 确认 外卖 送错 房间 告知 感动 缺点 潮宗 卖唱 网红 音响 房间 玻璃 阳台 玻璃 隔音 看运气 碰到 情况 完美
老板娘很热情，床品比较好，睡着比较舒服，民宿位置就在潮宗街上 唯一的缺点就是不太好停车，自驾的朋友一定要提前联系老板娘，老板娘推荐的是30封顶，我们自己去停的60封顶,老板娘 热情 床品 睡着 舒服 民宿 位置 潮宗 缺点 不太好 停车 自驾 朋友 提前 老板娘 老板娘 推荐 封顶 封顶
长沙烟霞里民宿位置优越，下楼就是潮宗街，非常方便。民宿老板夫妇装修很用心，房间干净且有品位，服务响应迅速及时，价格优惠，是长沙旅游出差首选，已推荐给朋友们,烟霞 民宿 位置 优越 下楼 民宿 老板 夫妇 装修 用心 房间 干净 品位 响应 价格 出差 首选 推荐 朋友
自驾过来的，民宿后面就有停车场 很方便，订的房间是一楼的榻榻米，和图片一没有区别。很干净。用品都比较新。这次出行时间比较紧张，以后有机会还会再去的,自驾 民宿 停车场 房间 一楼 榻榻米 图片 区别 干净 用品 出行 时间 紧张 机会
很好看的房间 和图片上是一样的设施齐全 卫生也非常好重要的是露台真的很哇塞 姐妹聚在一起就很赞 愉快的假期,好看 房间 图片 设施 卫生 露台 姐妹 愉快
老板娘人很好的 地理位置也不错 潮宗街就很休闲 下次还考虑住这里 床很软很舒服 还有小阳台 总之性价比很高 可以冲,老板娘 地理位置 不错 休闲 舒服 阳台 性价比
